row_index,3sb,4sb,5sb,6sb,7sb,8sb,9sb,10sb,11sb,12sb,13sb,14sb,15sb,16sb,3pb,4pb,5pb,6pb,7pb,8pb,9pb,10pb,11pb,12pb,13pb,14pb,15pb,16pb,3db,4db,5db,6db,7db,8db,9db,10db,11db,12db,13db,14db,15db,16db,4fb,5fb,6fb,7fb,8fb,9fb,10fb,11fb,12fb,13fb,14fb,15fb,16fb,5gb,6gb,7gb,8gb,9gb,10gb,11gb,12gb,13gb,14gb,15gb,16gb
3sb,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(2.510693360121493+0j),(0.21183009421384408+0j),(0.07432372124293517+0j),(0.03918656716491322+0j),(0.024993120080837202+0j),(0.0177491423965792+0j),(0.013484963554546994+0j),(0.010728198444225527+0j),(0.00881837144980091+0j),(0.007431025719162208+0j),(0.0063809550754535226+0j),(0.005564349938543441+0j),(0.004911938972022146+0j),(0.004380897725315864+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
4sb,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-2.486992231888886+0j),(5.882320307168577+0j),(0.6562431532844626+0j),(0.26124307593978374+0j),(0.1484019143859834+0j),(0.0993371617936317+0j),(0.07293955881659443+0j),(0.056782666913290855+0j),(0.046005129270702+0j),(0.03837026331644556+0j),(0.03270294060755923+0j),(0.028356829587002086+0j),(0.024920627358480954+0j),(0.022151969111133728+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
5sb,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.5201717716331667+0j),(-5.877516598343534+0j),(10.532429237582047+0j),(1.2719209347354168+0j),(0.5225630129241386+0j),(0.3018503068456087+0j),(0.20415290319547885+0j),(0.1509958090656124+0j),(0.11821331516252752+0j),(0.0962005841940488+0j),(0.08055541504952739+0j),(0.06888653208051766+0j),(0.059909736190942295+0j),(0.05280159087738722+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
6sb,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.2669952552578629+0j),(-1.108526004197517+0j),(-10.518887952491161+0j),(16.467278783167696+0j),(2.0539459527710187+0j),(0.8532206103366298+0j),(0.49531450718944575+0j),(0.3359425479663714+0j),(0.24893345547951204+0j),(0.19519681752397747+0j),(0.1590921676686624+0j),(0.13337656639203027+0j),(0.11424355827235236+0j),(0.09946141311882928+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
7sb,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.1738616265303204+0j),(-0.551265930475524+0j),(-1.8638754357467895+0j),(-16.42199060031264+0j),(23.68859124059516+0j),(3.0009801101472595+0j),(1.2514787868859103+0j),(0.7271619659920253+0j),(0.49322146905132763+0j),(0.36543912518812155+0j),(0.28652365484379994+0j),(0.23357348968290703+0j),(0.1958596371567349+0j),(0.16782114826574504+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
8sb,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.1263570200900685+0j),(-0.3546483322547065+0j),(-0.9040617142683216+0j),(-2.788402999540666+0j),(-23.589538661133716-5.7735026918962575e-15j),(32.197039290849396+5.7735026918962575e-15j),(4.112529105385518+0j),(1.7165886217638369+0j),(0.9966348315870546+0j),(0.6752545396742932+0j),(0.49981120757943714+0j),(0.3915592373968513+0j),(0.319029814688999+0j),(0.26743086644374897+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
9sb,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.09784498034523777+0j),(-0.256674189300022+0j),(-0.5745106842796234+0j),(-1.3259392143651956+0j),(-3.8824963985548235+0j),(-32.02252858201273+0j),(41.992939810952365-5.7735026918962575e-15j),(5.38837294723692+0j),(2.2481763326152437+0j),(1.3033294937593682+0j),(0.8816453008969453+0j),(0.6516569117608495+0j),(0.509924448482472+0j),(0.41510374195713584+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
10sb,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.07896892538589162+0j),(-0.19865585731164362+0j),(-0.41321823832993343+0j),(-0.8332812672824874+0j),(-1.8168944510509557+0j),(-5.146254336716073+0j),(-41.72141066712686+0j),(53.07646123281474+0j),(6.828401392800793+0j),(2.8460374518688205+0j),(1.6470209479857982+0j),(1.1121627769741431+0j),(0.8207491491333108+0j),(0.6413844543074082+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
11sb,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.06563537856781906+0j),(-0.16054924961817654+0j),(-0.3188608240671818+0j),(-0.5954285799017524+0j),(-1.1307488802551233+0j),(-2.3768936309267565+0j),(-6.5797061987706895+0j),(-52.68641846007687+0j),(65.44770112044169+0j),(8.432553034981028+0j),(3.510048158042949+0j),(2.027556555614583+0j),(1.366645878834925+0j),(1.0069440301805663+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
12sb,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.055762226059652836+0j),(-0.13372798284775442+0j),(-0.2574113903035031+0j),(-0.45769268438987487+0j),(-0.802958016296196+0j),(-1.466793298594257+0j),(-3.0059138671965084+0j),(-8.182861882041157+0j),(-64.91768367805363+0j),(79.10672116259245+5.7735026918962575e-15j),(10.200793840144971+5.7735026918962575e-15j),(4.240136234661615+0j),(2.4448575368089513+0j),(1.6450060668826232+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
13sb,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.04819091114026731+0j),(-0.11391313378524201+0j),(-0.21440949843751742+0j),(-0.36867353242927703+0j),(-0.6147029729035018+0j),(-1.035625390908724+0j),(-1.8413515016356832+0j),(-3.7039466452981418+0j),(-9.955723625110712+0j),(-78.4152865752939-1.1547005383792515e-14j),(94.05356125662554+0j),(12.133101641479124-5.7735026918962575e-15j),(5.036252784621121+0j),(2.898866244663561+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
14sb,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.04222339141495522+0j),(-0.09871438622344271+0j),(-0.1827500756705445+0j),(-0.3067459298462653+0j),(-0.4938415258779847+0j),(-0.7896784931144747+0j),(-1.2933347695122785+0j),(-2.2544043340253417+0j),(-4.470985034399645+0j),(-11.898291170215442+5.7735026918962575e-15j),(-93.17927948741504+0j),(110.28824732064703+1.1547005383792515e-14j),(14.229460239657156-5.7735026918962575e-15j),(5.898359337919408-5.7735026918962575e-15j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
15sb,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.03741245777570709+0j),(-0.08673142232052346+0j),(-0.1585415415828615+0j),(-0.2613363399604084+0j),(-0.41021069097729446+0j),(-0.6326459380062065+0j),(-0.9825017704671448+0j),(-1.5760413883199131+0j),(-2.7059373999382417+0j),(-5.3070227826730285+0j),(-14.010563978223+5.7735026918962575e-15j),(-109.20969776125975-1.1547005383792515e-14j),(127.81079800958514+1.1547005383792515e-14j),(16.489859131648764+5.7735026918962575e-15j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
16sb,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.03346667606497732+0j),(-0.07705687495348054+0j),(-0.13946159043879794+0j),(-0.22673289876981464+0j),(-0.3491238401423009+0j),(-0.524508900639754+0j),(-0.7849638760062895+0j),(-1.1930794567596446+0j),(-1.8837319567003425+0j),(-3.195932073516765+0j),(-6.212056726965649+0j),(-16.29254066014971-5.7735026918962575e-15j),(-126.50656456174809+0j),(146.62122802200204-1.1547005383792515e-14j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
