row_index,3sb,4sb,5sb,6sb,7sb,8sb,9sb,10sb,11sb,12sb,13sb,14sb,15sb,16sb,3pb,4pb,5pb,6pb,7pb,8pb,9pb,10pb,11pb,12pb,13pb,14pb,15pb,16pb,3db,4db,5db,6db,7db,8db,9db,10db,11db,12db,13db,14db,15db,16db,4fb,5fb,6fb,7fb,8fb,9fb,10fb,11fb,12fb,13fb,14fb,15fb,16fb,5gb,6gb,7gb,8gb,9gb,10gb,11gb,12gb,13gb,14gb,15gb,16gb
3sb,0.0,-0.11675997094077,-0.15102485654239,-0.16559672692911,-0.17312173585419,-0.1775080979819,-0.18028670257535,-0.18215715233087,-0.18347607767818,-0.18444078891298,-0.18516764375188,-0.18572886586011,-0.18617120961193,-0.18652602474615,-0.07644073783718,-0.13753674880728,-0.15948120925403,-0.16984105992883,-0.17554686389515,-0.17902179289856,-0.18129413387503,-0.18286114326233,-0.18398723588826,-0.18482358046766,-0.18546169476473,-0.18595961833993,-0.18635560331421,-0.18667569125637,-0.13345489933305,-0.15769667294394,-0.16890987788049,-0.17500165520245,-0.17867574376976,-0.18106099858639,-0.18269671242762,-0.18386697280539,-0.18473298899529,-0.18539176776611999,-0.18590452175012,-0.18631142427631,-0.18663972645133,-0.18690844231575,-0.15761041777049,-0.16886031208786,-0.17497126693665,-0.17865595816215,-0.1810474609075,-0.1826870679754,-0.18385987067134,-0.18472761332929,-0.18538760381748,-0.18590123239396,-0.18630878153457,-0.18663757182624,-0.18690666292127,-0.16885975977087,-0.17497087106526,-0.17865567804441,-0.18104725934597,-0.18268691955705,-0.1838597588416,-0.18472752726712,-0.18538753632067,-0.18590117856224,-0.18630873795896,-0.18663753608491,-0.18690663325969
4sb,0.11675997094077,0.0,-0.034264885601620006,-0.04883675598834,-0.05636176491342,-0.06074812704113,-0.06352673163458,-0.0653971813901,-0.06671610673741,-0.06768081797221001,-0.06840767281111,-0.06896889491934001,-0.06941123867116,-0.06976605380538001,0.040319233103589994,-0.020776777866510006,-0.04272123831326001,-0.05308108898806001,-0.058786892954380006,-0.06226182195779001,-0.06453416293426001,-0.06610117232156,-0.06722726494749001,-0.06806360952689,-0.06870172382396,-0.06919964739916,-0.06959563237344,-0.0699157203156,-0.016694928392280005,-0.040936702003170004,-0.052149906939720006,-0.058241684261680006,-0.06191577282899001,-0.06430102764562001,-0.06593674148685,-0.06710700186462,-0.06797301805452001,-0.06863179682535,-0.06914455080935,-0.06955145333554001,-0.06987975551056,-0.07014847137498001,-0.04085044682972001,-0.05210034114709,-0.05821129599588001,-0.061895987221380004,-0.06428748996673,-0.06592709703463001,-0.06709989973057001,-0.06796764238852,-0.06862763287671,-0.06914126145319001,-0.06954881059380001,-0.06987760088547,-0.07014669198050001,-0.052099788830100004,-0.058210900124490005,-0.06189570710364001,-0.06428728840520001,-0.06592694861628001,-0.06709978790083,-0.06796755632635,-0.0686275653799,-0.06914120762147001,-0.06954876701819,-0.06987756514414001,-0.07014666231892
5sb,0.15102485654239,0.034264885601620006,0.0,-0.01457187038672,-0.0220968793118,-0.02648324143951,-0.02926184603296,-0.03113229578848,-0.03245122113579,-0.03341593237059,-0.03414278720949,-0.03470400931772,-0.03514635306954,-0.03550116820376,0.07458411870521,0.01348810773511,-0.00845635271164,-0.018816203386439998,-0.02452200735276,-0.02799693635617,-0.03026927733264,-0.03183628671994,-0.03296237934587,-0.03379872392527,-0.03443683822234,-0.03493476179754,-0.03533074677182,-0.03565083471398,0.01756995720934,-0.006671816401549999,-0.0178850213381,-0.02397679866006,-0.02765088722737,-0.030036142044,-0.03167185588523,-0.032842116263,-0.0337081324529,-0.03436691122373,-0.03487966520773,-0.03528656773392,-0.03561486990894,-0.03588358577336,-0.006585561228100001,-0.01783545554547,-0.02394641039426,-0.02763110161976,-0.03002260436511,-0.03166221143301,-0.03283501412895,-0.0337027567869,-0.03436274727509,-0.034876375851569996,-0.03528392499218,-0.03561271528385,-0.03588180637888,-0.017834903228479998,-0.02394601452287,-0.027630821502020002,-0.030022402803579998,-0.03166206301466,-0.03283490229921,-0.03370267072473,-0.03436267977828,-0.03487632201985,-0.03528388141657,-0.03561267954252,-0.0358817767173
6sb,0.16559672692911,0.04883675598834,0.01457187038672,0.0,-0.007525008925079998,-0.011911371052789999,-0.01468997564624,-0.01656042540176,-0.01787935074907,-0.018844061983869998,-0.01957091682277,-0.020132138931,-0.02057448268282,-0.020929297817039998,0.08915598909193,0.02805997812183,0.00611551767508,-0.004244332999719998,-0.00995013696604,-0.01342506596945,-0.01569740694592,-0.017264416333219998,-0.01839050895915,-0.01922685353855,-0.01986496783562,-0.02036289141082,-0.0207588763851,-0.02107896432726,0.032141827596060005,0.007900053985170002,-0.00331315095138,-0.00940492827334,-0.01307901684065,-0.01546427165728,-0.01709998549851,-0.018270245876279997,-0.01913626206618,-0.01979504083701,-0.02030779482101,-0.0207146973472,-0.02104299952222,-0.02131171538664,0.00798630915862,-0.0032635851587499987,-0.009374540007539999,-0.01305923123304,-0.015450733978389999,-0.017090341046289998,-0.01826314374223,-0.01913088640018,-0.019790876888369998,-0.02030450546485,-0.02071205460546,-0.02104084489713,-0.02130993599216,-0.0032630328417599976,-0.009374144136149998,-0.0130589511153,-0.015450532416859999,-0.01709019262794,-0.01826303191249,-0.01913080033801,-0.01979080939156,-0.02030445163313,-0.02071201102985,-0.0210408091558,-0.021309906330579997
7sb,0.17312173585419,0.05636176491342,0.0220968793118,0.007525008925079998,0.0,-0.00438636212771,-0.0071649667211600016,-0.009035416476680002,-0.01035434182399,-0.01131905305879,-0.01204590789769,-0.012607130005920002,-0.013049473757740002,-0.013404288891960001,0.09668099801701,0.03558498704691,0.013640526600159998,0.0032806759253600007,-0.0024251280409600014,-0.005900057044370001,-0.00817239802084,-0.00973940740814,-0.01086550003407,-0.01170184461347,-0.01233995891054,-0.01283788248574,-0.013233867460020001,-0.01355395540218,0.03966683652114,0.01542506291025,0.0042118579736999985,-0.0018799193482600014,-0.0055540079155700015,-0.007939262732200001,-0.00957497657343,-0.0107452369512,-0.011611253141100002,-0.012270031911930001,-0.012782785895930002,-0.01318968842212,-0.013517990597140001,-0.013786706461560001,0.015511318083699998,0.00426142376633,-0.0018495310824600004,-0.005534222307960001,-0.00792572505331,-0.00956533212121,-0.01073813481715,-0.011605877475100002,-0.012265867963290001,-0.01277949653977,-0.01318704568038,-0.01351583597205,-0.01378492706708,0.004261976083320001,-0.00184913521107,-0.005533942190220001,-0.00792552349178,-0.00956518370286,-0.01073802298741,-0.01160579141293,-0.01226580046648,-0.01277944270805,-0.013187002104770001,-0.01351580023072,-0.0137848974055
8sb,0.1775080979819,0.06074812704113,0.02648324143951,0.011911371052789999,0.00438636212771,0.0,-0.0027786045934500014,-0.004649054348970001,-0.005967979696280001,-0.0069326909310800005,-0.00765954576998,-0.008220767878210002,-0.008663111630030002,-0.00901792676425,0.10106736014472,0.03997134917462,0.018026888727869998,0.007667038053070001,0.0019612340867499987,-0.0015136949166600008,-0.0037860358931300006,-0.00535304528043,-0.00647913790636,-0.007315482485760001,-0.00795359678283,-0.00845152035803,-0.008847505332310001,-0.00916759327447,0.04405319864885,0.01981142503796,0.008598220101409999,0.0025064427794499987,-0.0011676457878600013,-0.003552900604490001,-0.00518861444572,-0.006358874823490001,-0.007224891013390001,-0.00788366978422,-0.008396423768220002,-0.00880332629441,-0.009131628469430001,-0.009400344333850001,0.019897680211409998,0.00864778589404,0.0025368310452499997,-0.0011478601802500012,-0.0035393629256,-0.0051789699935,-0.00635177268944,-0.007219515347390001,-0.007879505835580001,-0.00839313441206,-0.00880068355267,-0.00912947384434,-0.00939856493937,0.008648338211030001,0.00253722691664,-0.0011475800625100011,-0.0035391613640700006,-0.005178821575150001,-0.006351660859700001,-0.007219429285220001,-0.00787943833877,-0.00839308058034,-0.008800639977060001,-0.00912943810301,-0.00939853527779
9sb,0.18028670257535,0.06352673163458,0.02926184603296,0.01468997564624,0.0071649667211600016,0.0027786045934500014,0.0,-0.0018704497555199996,-0.0031893751028299992,-0.004154086337629999,-0.004880941176529999,-0.005442163284759999,-0.005884507036579999,-0.006239322170799999,0.10384596473817,0.042749953768070004,0.02080549332132,0.010445642646520002,0.0047398386802,0.0012649096767900006,-0.0010074312996799992,-0.002574440686979999,-0.003700533312909999,-0.004536877892309999,-0.005174992189379999,-0.005672915764579999,-0.0060689007388599996,-0.006388988681019999,0.046831803242300005,0.02259002963141,0.01137682469486,0.0052850473729,0.00161095880559,-0.0007742960110399995,-0.0024100098522699988,-0.003580270230039999,-0.004446286419939999,-0.005105065190769999,-0.005617819174769999,-0.006024721700959999,-0.00635302387598,-0.006621739740399999,0.02267628480486,0.011426390487490001,0.005315435638700001,0.0016307444132000002,-0.0007607583321499987,-0.002400365400049999,-0.0035731680959899988,-0.004440910753939999,-0.00510090124213,-0.005614529818609999,-0.006022078959219999,-0.006350869250889999,-0.006619960345919999,0.011426942804480002,0.0053158315100900015,0.0016310245309400003,-0.0007605567706199991,-0.0024002169816999992,-0.0035730562662499993,-0.004440824691769999,-0.005100833745319999,-0.005614475986889999,-0.006022035383609999,-0.0063508335095599985,-0.006619930684339999
10sb,0.18215715233087,0.0653971813901,0.03113229578848,0.01656042540176,0.009035416476680002,0.004649054348970001,0.0018704497555199996,0.0,-0.0013189253473099996,-0.0022836365821099994,-0.0030104914210099996,-0.0035717135292399997,-0.00401405728106,-0.004368872415279999,0.10571641449369,0.04462040352359,0.02267594307684,0.012316092402040003,0.00661028843572,0.00313535943231,0.0008630184558400004,-0.0007039909314599992,-0.0018300835573899993,-0.0026664281367899997,-0.0033045424338599997,-0.0038024660090599997,-0.004198450983339999,-0.0045185389254999994,0.04870225299782,0.024460479386930002,0.01324727445038,0.00715549712842,0.0034814085611099997,0.00109615374448,-0.0005395600967499992,-0.0017098204745199996,-0.0025758366644199997,-0.0032346154352499994,-0.0037473694192499997,-0.00415427194544,-0.004482574120459999,-0.004751289984879999,0.02454673456038,0.013296840243010002,0.007185885394220001,0.00350119416872,0.0011096914233700008,-0.0005299156445299994,-0.0017027183404699992,-0.0025704609984199996,-0.0032304514866099998,-0.0037440800630899997,-0.0041516292037,-0.00448041949537,-0.0047495105904,0.013297392560000003,0.007186281265610001,0.00350147428646,0.0011098929849000004,-0.0005297672261799996,-0.0017026065107299997,-0.0025703749362499997,-0.0032303839897999996,-0.0037440262313699997,-0.0041515856280899995,-0.00448038375404,-0.00474948092882
11sb,0.18347607767818,0.06671610673741,0.03245122113579,0.01787935074907,0.01035434182399,0.005967979696280001,0.0031893751028299992,0.0013189253473099996,0.0,-0.0009647112347999998,-0.0016915660737,-0.00225278818193,-0.00269513193375,-0.0030499470679699998,0.107035339841,0.0459393288709,0.02399486842415,0.013635017749350001,0.00792921378303,0.00445428477962,0.00218194380315,0.0006149344158500004,-0.0005111582100799997,-0.00134750278948,-0.00198561708655,-0.00248354066175,-0.00287952563603,-0.00319961357819,0.05002117834513,0.02577940473424,0.01456619979769,0.00847442247573,0.004800333908419999,0.0024150790917899997,0.0007793652505600004,-0.00039089512720999996,-0.00125691131711,-0.0019156900879399997,-0.00242844407194,-0.00283534659813,-0.00316364877315,-0.0034323646375699996,0.02586565990769,0.01461576559032,0.00850481074153,0.004820119516029999,0.0024286167706800005,0.0007890097027800002,-0.00038379299315999954,-0.00125153565111,-0.0019115261393000001,-0.00242515471578,-0.00283270385639,-0.00316149414806,-0.00343058524309,0.014616317907310002,0.00850520661292,0.0048203996337699995,0.00242881833221,0.00078915812113,-0.00038368116342000005,-0.00125144958894,-0.00191145864249,-0.00242510088406,-0.00283266028078,-0.0031614584067299997,-0.00343055558151
12sb,0.18444078891298,0.06768081797221001,0.03341593237059,0.018844061983869998,0.01131905305879,0.0069326909310800005,0.004154086337629999,0.0022836365821099994,0.0009647112347999998,0.0,-0.0007268548389000001,-0.0012880769471300003,-0.0017304206989500002,-0.00208523583317,0.1080000510758,0.0469040401057,0.024959579658949998,0.01459972898415,0.008893925017829998,0.00541899601442,0.00314665503795,0.0015796456506500002,0.0004535530247200001,-0.00038279155468000023,-0.0010209058517500003,-0.0015188294269500003,-0.00191481440123,-0.00223490234339,0.05098588957993,0.02674411596904,0.015530911032489998,0.009439133710529998,0.005765045143219999,0.0033797903265899995,0.0017440764853600002,0.0005738161075899998,-0.00029220008231000023,-0.0009509788531399999,-0.0014637328371400003,-0.00187063536333,-0.00219893753835,-0.00246765340277,0.026830371142489998,0.01558047682512,0.009469521976330001,0.005784830750829999,0.0033933280054800003,0.00175372093758,0.0005809182416400003,-0.0002868244163100001,-0.0009468149045000003,-0.0014604434809800003,-0.0018679926215900001,-0.00219678291326,-0.00246587400829,0.01558102914211,0.00946991784772,0.005785110868569999,0.00339352956701,0.0017538693559299998,0.0005810300713799997,-0.00028673835414000023,-0.0009467474076900002,-0.0014603896492600002,-0.00186794904598,-0.00219674717193,-0.00246584434671
